threat_name,severity,detected_on
Phishing Email Campaign,High,2025-12-01
Ransomware Attack,Critical,2025-12-02
Zero-Day Exploit,Critical,2025-12-03
Insider Data Leak,Medium,2025-12-04
Data Breach Attempt,High,2025-12-05
Malware Infection,Critical,2025-12-06
DDoS Attack,High,2025-12-07
Phishing Attempt,Medium,2025-12-08
Ransomware Campaign,Critical,2025-12-09
Software Vulnerability,High,2025-12-10
Threat Intelligence Alert,Medium,2025-12-11
Suspicious Login Activity,High,2025-12-12
Network Intrusion,High,2025-12-13
DDoS Risk,Critical,2025-12-14
Malware Alert,High,2025-12-15
Compromised Credentials,High,2025-12-16
Brute Force Attack,Medium,2025-12-17
Phishing Link Detected,High,2025-12-18
Suspicious File Detected,Medium,2025-12-19
Botnet Activity,Critical,2025-12-20
Unauthorized Access Attempt,High,2025-12-21
Worm Infection,Critical,2025-12-22
Dark Web Mention,Medium,2025-12-23
SQL Injection Attempt,High,2025-12-24
Privilege Escalation Attempt,Critical,2025-12-25
Suspicious Network Traffic,Medium,2025-12-26
Spear Phishing Email,High,2025-12-27
Malicious Script Detected,Medium,2025-12-28
Command and Control Traffic,Critical,2025-12-29
Exploit Kit Detected,High,2025-12-30
Trojan Infection,Medium,2025-12-31
Unusual Outbound Traffic,High,2026-01-01
Ransomware Beaconing,Critical,2026-01-02
Fake Login Page,High,2026-01-03
Backdoor Detected,Critical,2026-01-04
Unauthorized File Access,Medium,2026-01-05
Suspicious USB Device,High,2026-01-06
Phishing SMS Attack,Medium,2026-01-07
Credential Harvesting,Critical,2026-01-08
Man-in-the-Middle Attempt,High,2026-01-09
Brute Force on Email,Medium,2026-01-10
Rootkit Detected,Critical,2026-01-11
Spyware Infection,Medium,2026-01-12
Malicious URL Detected,High,2026-01-13
Unauthorized Database Access,Critical,2026-01-14
Suspicious VPN Login,Medium,2026-01-15
Insider Threat Alert,High,2026-01-16
DDoS Botnet Command,Critical,2026-01-17
Cross-Site Scripting Attack,Medium,2026-01-18
Remote Code Execution Attempt,Critical,2026-01-19
Password Spraying Attack,High,2026-01-20
Suspicious Registry Change,Medium,2026-01-21
Encrypted Traffic Anomaly,High,2026-01-22
Trojan Downloader,Critical,2026-01-23
Unknown Malware Variant,High,2026-01-24
DNS Tunneling Activity,Critical,2026-01-25
Rogue WiFi Network,Medium,2026-01-26
Unapproved Application Installed,High,2026-01-27
Compromised Admin Account,Critical,2026-01-28
Exploit Attempt Blocked,Medium,2026-01-29
Network Reconnaissance,High,2026-01-30
Phishing Website Detected,Critical,2026-01-31
Suspicious PowerShell Script,Medium,2026-02-01
Malicious Email Attachment,High,2026-02-02
Unauthorized Remote Access,Critical,2026-02-03
Suspicious Process Started,Medium,2026-02-04
Zero-Day Malware,Critical,2026-02-05
Exposed Sensitive Data,High,2026-02-06
Cloud Account Breach,Medium,2026-02-07
DDoS Amplification Attack,Critical,2026-02-08
Fake Antivirus Alert,Medium,2026-02-09
Session Hijacking Attempt,High,2026-02-10
Compromised IoT Device,Critical,2026-02-11
Brute Force on SSH,High,2026-02-12
Unauthorized Software Execution,Medium,2026-02-13
Phishing via Social Media,High,2026-02-14
Ransomware Payload Detected,Critical,2026-02-15
DNS Spoofing Attempt,High,2026-02-16
Malware Callback Alert,Critical,2026-02-17
Fileless Malware Detected,High,2026-02-18
Keylogger Activity,Medium,2026-02-19
Suspicious Encryption Activity,High,2026-02-20
Unauthorized Access to Logs,Critical,2026-02-21
Weak Password Detected,Medium,2026-02-22
Phishing via QR Code,High,2026-02-23
Compromised API Key,Critical,2026-02-24
Suspicious Admin Activity,High,2026-02-25
Credential Phishing Attempt,Medium,2026-02-26
Unauthorized Cloud Login,High,2026-02-27
Brute Force on Web Portal,Medium,2026-02-28
